"","Patch","Plant_ID","Bract","Treatment","Pollen_Donor","Poll_Date","Poll_Time","Coll_Date","Coll_Time","Damage","Out","Notes"
"95","K1",786,4,"HPO",760,2024-05-09,1899-12-30 08:32:00,2024-05-10,1899-12-30 03:25:00,0,0,""
"96","K1",788,6,"ND-Far",760,2024-05-09,1899-12-30 08:39:00,2024-05-10,1899-12-30 03:26:00,0,2,""
"97","K1",791,1,"ND-S",784,2024-05-09,1899-12-30 08:43:00,2024-05-10,1899-12-30 03:28:00,0,7,""
"98","K1",791,4,"NE",773,2024-05-09,1899-12-30 08:47:00,2024-05-10,1899-12-30 03:30:00,0,3,""
"99","K1",792,2,"ND-NN",737,2024-05-09,1899-12-30 09:10:00,2024-05-10,1899-12-30 10:50:00,0,3,"La flor se cayo."
"100","K1",783,1,"ND-Far",760,2024-05-10,1899-12-30 09:12:00,2024-05-11,1899-12-30 03:12:00,0,7,"Dia, muy lluvioso."
"101","K1",784,3,"ND-S",784,2024-05-10,1899-12-30 09:20:00,2024-05-11,1899-12-30 03:16:00,1,6,"Dia, muy lluvioso."
"102","K1",784,6,"ND-Far",773,2024-05-10,1899-12-30 09:24:00,2024-05-11,1899-12-30 03:20:00,0,6,"Dia, muy lluvioso."
"103","K1",785,6,"ND-S",785,2024-05-10,1899-12-30 09:38:00,2024-05-11,1899-12-30 03:22:00,0,4,"Dia, muy lluvioso."
"104","K1",788,5,"NE",760,2024-05-10,1899-12-30 09:50:00,2024-05-11,1899-12-30 03:23:00,0,5,"Dia, muy lluvioso."
"105","K1",789,3,"HPO",760,2024-05-10,1899-12-30 09:56:00,2024-05-11,1899-12-30 03:24:00,0,6,"Dia, muy lluvioso."
"106","K1",792,4,"ND-Far",760,2024-05-10,1899-12-30 10:15:00,2024-05-11,1899-12-30 03:25:00,0,0,"Dia, muy lluvioso."
"107","K1",793,1,"NE",762,2024-05-15,1899-12-30 08:10:00,2024-05-16,1899-12-30 02:50:00,1,6,""
"108","K1",794,2,"ND-NN",736,2024-05-15,1899-12-30 08:20:00,2024-05-16,1899-12-30 02:55:00,0,0,""
"109","K1",795,1,"ND-S",795,2024-05-15,1899-12-30 08:25:00,2024-05-16,1899-12-30 02:58:00,0,6,""
"110","K1",795,2,"HPO",762,2024-05-15,1899-12-30 08:30:00,2024-05-16,1899-12-30 03:00:00,0,5,""
"111","K1",796,3,"NE",762,2024-05-15,1899-12-30 08:35:00,2024-05-16,1899-12-30 03:02:00,0,1,""
"112","K2",797,1,"ND-NN",736,2024-05-15,1899-12-30 08:40:00,2024-05-16,1899-12-30 03:06:00,0,12,""
"113","K2",797,4,"ND-S",797,2024-05-15,1899-12-30 08:50:00,2024-05-16,1899-12-30 03:08:00,1,9,""
"114","K2",797,7,"HPO",762,2024-05-15,1899-12-30 08:59:00,2024-05-16,1899-12-30 03:10:00,0,8,""
"115","K1",795,5,"NE",762,2024-05-16,1899-12-30 08:10:00,2024-05-17,1899-12-30 03:11:00,0,2,""
"116","K1",775,2,"ND-S",775,2024-05-16,1899-12-30 08:20:00,2024-05-17,1899-12-30 03:13:00,0,3,""
"117","K1",775,3,"HPO",762,2024-05-16,1899-12-30 08:25:00,2024-05-17,1899-12-30 03:14:00,0,2,""
"118","K1",776,2,"NE",762,2024-05-16,1899-12-30 08:45:00,2024-05-17,1899-12-30 03:16:00,1,1,""
"119","K1",777,2,"ND-S",777,2024-05-16,1899-12-30 09:10:00,2024-05-17,1899-12-30 03:18:00,0,5,""
"120","K1",777,3,"HPO",762,2024-05-16,1899-12-30 09:20:00,2024-05-17,1899-12-30 03:20:00,0,0,""
"121","K1",793,3,"ND-S",793,2024-05-17,1899-12-30 08:30:00,2024-05-18,1899-12-30 03:05:00,0,5,""
"122","K1",794,1,"NE",762,2024-05-17,1899-12-30 08:40:00,2024-05-18,1899-12-30 03:10:00,0,2,""
"123","K1",796,4,"ND-Far",762,2024-05-17,1899-12-30 08:47:00,2024-05-18,1899-12-30 03:15:00,1,0,""
"124","K1",775,4,"ND-NN",736,2024-05-17,1899-12-30 08:56:00,2024-05-18,1899-12-30 03:18:00,0,0,""
"125","K1",776,3,"HPO",762,2024-05-17,1899-12-30 09:05:00,2024-05-18,1899-12-30 03:20:00,0,0,""
"126","K1",777,6,"ND-Far",762,2024-05-17,1899-12-30 09:10:00,2024-05-18,1899-12-30 03:23:00,0,3,""
"127","K2",778,1,"NE",762,2024-05-17,1899-12-30 09:20:00,2024-05-18,1899-12-30 03:25:00,0,4,""
"128","K2",778,5,"ND-S",778,2024-05-17,1899-12-30 09:30:00,2024-05-18,1899-12-30 03:28:00,0,0,""
"129","K1",793,1,"NE",762,2024-05-18,1899-12-30 08:35:00,2024-05-20,1899-12-30 09:38:00,0,6,""
"130","K1",793,5,"ND-NN",730,2024-05-18,1899-12-30 08:40:00,2024-05-20,1899-12-30 09:39:00,0,2,""
"131","K1",795,1,"ND-S",794,2024-05-18,1899-12-30 08:50:00,2024-05-20,1899-12-30 09:40:00,0,6,""
"132","K1",795,2,"HPO",762,2024-05-18,1899-12-30 08:57:00,2024-05-20,1899-12-30 09:41:00,0,5,""
"133","K1",796,2,"ND-S",796,2024-05-18,1899-12-30 09:02:00,2024-05-20,1899-12-30 09:42:00,0,3,""
"134","K2",797,4,"ND-S",797,2024-05-18,1899-12-30 09:14:00,2024-05-20,1899-12-30 04:43:00,0,9,""
"135","K2",797,7,"HPO",762,2024-05-18,1899-12-30 09:15:00,2024-05-20,1899-12-30 04:46:00,0,8,""
"136","K1",775,2,"ND-S",775,2024-05-18,1899-12-30 09:21:00,2024-05-20,1899-12-30 04:48:00,0,3,""
"137","K1",793,3,"ND-S",793,2024-05-18,1899-12-30 09:51:00,2024-05-20,1899-12-30 03:05:00,0,5,""
"138","K1",794,1,"NE",762,2024-05-20,1899-12-30 09:55:00,2024-05-21,1899-12-30 03:07:00,0,2,""
"139","K1",794,2,"Polish",NA,2024-05-20,1899-12-30 10:01:00,2024-05-21,NA,NA,0,""
"140","K1",795,2,"HPO",762,2024-05-20,1899-12-30 10:04:00,2024-05-21,1899-12-30 03:08:00,0,5,""
"141","K1",795,5,"Polish",NA,2024-05-20,1899-12-30 10:05:00,2024-05-21,NA,NA,2,""
"142","K1",776,2,"Polish",NA,2024-05-20,1899-12-30 10:14:00,2024-05-21,NA,NA,1,""
"143","K1",776,3,"HPO",762,2024-05-20,1899-12-30 10:15:00,2024-05-21,1899-12-30 03:11:00,0,0,""
"144","K1",777,2,"Polish",NA,2024-05-20,1899-12-30 10:21:00,2024-05-21,NA,NA,5,""
"145","K1",777,6,"ND-Far",762,2024-05-20,1899-12-30 10:25:00,2024-05-21,1899-12-30 03:13:00,0,3,""
"146","K2",778,1,"NE",762,2024-05-20,1899-12-30 10:40:00,2024-05-21,1899-12-30 03:16:00,0,4,""
"147","K1",793,1,"NE",762,2024-05-21,1899-12-30 09:00:00,2024-05-22,1899-12-30 03:20:00,0,6,""
"148","K1",793,4,"SD",762,2024-05-21,1899-12-30 09:02:00,2024-05-22,1899-12-30 03:22:00,0,5,""
"149","K1",795,6,"SD",762,2024-05-21,1899-12-30 09:23:00,2024-05-22,1899-12-30 03:26:00,0,2,""
"150","K1",796,2,"ND-S",796,2024-05-21,1899-12-30 09:33:00,2024-05-22,1899-12-30 03:28:00,0,3,""
"151","K1",796,5,"SD",762,2024-05-21,1899-12-30 09:40:00,2024-05-22,1899-12-30 03:30:00,0,9,""
"152","K2",797,4,"ND-S",797,2024-05-21,1899-12-30 09:51:00,2024-05-22,1899-12-30 03:33:00,0,9,""
"153","K2",797,6,"SD",762,2024-05-21,1899-12-30 09:55:00,2024-05-22,1899-12-30 03:35:00,0,8,""
"154","K2",797,7,"HPO",762,2024-05-21,1899-12-30 10:00:00,2024-05-22,1899-12-30 03:37:00,0,8,""
"155","K1",775,2,"ND-S",775,2024-05-21,1899-12-30 10:05:00,2024-05-22,1899-12-30 03:39:00,0,3,""
"156","K1",775,5,"SD",762,2024-05-22,1899-12-30 10:10:00,2024-05-22,1899-12-30 03:40:00,0,0,""
"157","K1",793,3,"ND-S",793,2024-05-22,1899-12-30 08:17:00,2024-05-22,1899-12-30 03:14:00,0,5,""
"158","K1",794,2,"ND-NN",736,2024-05-22,1899-12-30 08:22:00,2024-05-23,1899-12-30 03:16:00,0,0,""
