Patch,Plant_ID,Bract_Num,Bract_Total,Treatment,Pollen_Donor,PD_Covered,Poll_Date,Poll_Time,Coll_Date,Coll_Time,Damage,Num_Above_Tape,Style_Collected,Applier_Technique,Applier_Pollen,Killed,Closed_Date,Closed_Time,Notes
K1,733,3,4,HPO,758,Y,2024-03-22,9:27,2024-03-23,15:55,0,,Y,Ferne,Ferne,N,2024-03-28,8:24,
K1,738,2,7,HPO,761,Y,2024-03-22,9:07,2024-03-23,15:50,0,,Y,Ferne,Ferne,N,2024-03-28,13:50,
K2,748,2,3,HPO,766,N,2024-03-22,8:43,2024-03-23,15:41,0,0,Y,Ferne,Ferne,N,2024-03-25,9:41,Flower eaten but style remaining 
K3,744,2,6,HPO,762,Y,2024-03-22,8:24,2024-03-23,15:30,0,,Y,Ferne,Ferne,N,2024-03-25,10:07,
Mike,740,1,5,HPO,769,N,2024-03-22,9:42,2024-03-23,16:03,0,,Y,Ferne,Ferne,N,2024-03-25,10:32,
K1,734,4,4,HPO,768,N,2024-03-23,9:27,2024-03-24,15:27,0,0,Y,Ferne,Ferne,N,2024-03-28,8:26,
K1,735,1,6,HPO,N/A,N,2024-03-23,9:18,N/A,N/A,N/A,,N,Mike,N/A,Y,2024-03-25,8:45,Killed bc style was eaten
K1,736,4,9,HPO,758,Y,2024-03-23,9:14,2024-03-24,15:21,0,,Y,Ferne,Ferne,N,2024-03-25,8:58,Ants
K1,737,7,8,HPO,768,N,2024-03-23,9:10,2024-03-24,15:23,0,1,Y,Ferne,Ferne,N,2024-03-28,8:40,Anthers are black
K1,799,1,6,HPO,758,Y,2024-03-23,9:44,2024-03-24,15:28,0,7,Y,Ferne,Ferne,N,2024-03-25,9:24,
K3,744,5,6,HPO,767,N,2024-03-23,8:41,2024-03-24,15:36,0,,Y,Ferne,Ferne,N,2024-03-28,9:01,
K3,749,2,4,HPO,758,Y,2024-03-23,8:45,2024-03-24,15:37,0,,Y,Ferne,Ferne,N,2024-03-25,10:20,
K1,732,2,7,HPO,769,N,2024-03-25,8:28,2024-03-26,16:34,0,,Y,Ferne,Ferne,N,2024-03-28,8:19,
K1,733,3,4,HPO,758,Y,2024-03-25,8:35,2024-03-26,16:36,0,,Y,Ferne,Ferne,N,2024-03-28,8:24,
