patch,plant_id,bract,treatment,pollen_donor,poll_date,poll_time,num_above_tape,nectar_source,coll_date,coll_time,donor_state,removed,notes
K1,550,1,Ctrl,N/A,11-Mar,8:40:00 AM,4,N/A,12-Mar,2:07,covered,N,
K1,545,2,N,526,11-Mar,8:42:00 AM,N/A,531,12-Mar,N/A,covered,N,Eaten
K2,532,1,SW,531,11-Mar,8:49:00 AM,N/A,N/A,12-Mar,2:14,covered,N,
K2,532,2,NN,526,11-Mar,8:50:00 AM,N/A,N/A,12-Mar,2:16,covered,N,
K2,533,2,Ctrl,N/A,11-Mar,8:51:00 AM,N/A,N/A,12-Mar,2:17,covered,N,
K2,552,1,Ctrl,N/A,11-Mar,8:52:00 AM,N/A,N/A,12-Mar,2:20,covered,N,
K2,552,4,Ctrl,N/A,11-Mar,8:52:00 AM,N/A,N/A,12-Mar,2:21,covered,N,
K2,543,2,NN,531,11-Mar,8:54:00 AM,N/A,N/A,12-Mar,2:23,covered,N,
K2,558,2,N,526,11-Mar,9:03:00 AM,5,552,12-Mar,9:16,covered,N,
K2,558,3,ND,531,11-Mar,9:06:00 AM,4,N/A,12-Mar,2:27,covered,N,
K2,558,5,SW,526,11-Mar,9:09:00 AM,N/A,N/A,12-Mar,2:29,covered,N,
K3,528,4,ND,531,11-Mar,9:14:00 AM,N/A,N/A,12-Mar,2:38,covered,N,1 fruit killed (bad flower)
K3,554,2,SW,526,11-Mar,9:19:00 AM,N/A,N/A,12-Mar,2:42,covered,N,
K3,554,3,N,531,11-Mar,9:20:00 AM,N/A,552,12-Mar,2:43,covered,N,
K3,553,2,NN,526,11-Mar,9:26:00 AM,N/A,N/A,12-Mar,2:47,covered,N,
K3,529,5,N,531,11-Mar,9:30:00 AM,N/A,552,12-Mar,2:48,covered,N,
K3,537,1,Ctrl,N/A,11-Mar,9:31:00 AM,N/A,N/A,12-Mar,2:45,covered,N,
K2,560,1,Ctrl,N/A,11-Mar,9:32:00 AM,N/A,N/A,12-Mar,2:50,covered,Y,
tower,541,1,N,546,12-Mar,8:03:00 AM,2,562,13-Mar,2:46,covered,Y,Fruit eaten
tinamu,561,4,NN,562,12-Mar,8:14:00 AM,0,N/A,13-Mar,2:55,covered,N,Eaten
old_pots,547,5,N,531,12-Mar,8:21:00 AM,N/A,556,13-Mar,2:59,covered,N,
